playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
pfiesja01,1907,CHN,NL,WS,P,1,1,27,0,0,0,0,false,,1,3
reulbed01,1907,CHN,NL,WS,P,2,1,36,1,3,0,0,false,,0,0
schulfr01,1907,CHN,NL,WS,RF,5,5,144,4,2,1,0,false,,,
sheckji01,1907,CHN,NL,WS,LF,5,5,144,10,0,0,0,false,,,
slaglji01,1907,CHN,NL,WS,CF,5,5,144,13,0,1,0,false,,,
steinha01,1907,CHN,NL,WS,3B,5,5,144,9,6,1,1,false,,,
tinkejo01,1907,CHN,NL,WS,SS,5,5,135,16,23,3,5,false,,,
zimmehe01,1907,CHN,NL,WS,2B,1,0,9,0,2,0,0,false,,,
archeji01,1907,DET,AL,WS,C,1,1,27,4,1,0,0,false,0,3,1
cobbty01,1907,DET,AL,WS,RF,5,5,138,10,0,0,0,false,,,
coughbi01,1907,DET,AL,WS,3B,5,5,138,9,7,2,0,false,,,
crawfsa01,1907,DET,AL,WS,CF,5,5,138,6,2,0,1,false,,,
donovbi01,1907,DET,AL,WS,P,2,2,63,2,3,0,0,false,,8,3
jonesda01,1907,DET,AL,WS,LF,5,5,138,10,2,1,0,false,,,
killied01,1907,DET,AL,WS,P,1,0,12,0,0,0,0,false,,0,0
mullige01,1907,DET,AL,WS,P,2,2,51,1,5,0,0,false,,7,2
olearch01,1907,DET,AL,WS,SS,5,5,138,12,15,2,0,false,,,
paynefr01,1907,DET,AL,WS,C,1,1,24,6,1,1,0,false,0,4,1
rossmcl01,1907,DET,AL,WS,1B,5,5,138,47,4,1,1,false,,,
schaege01,1907,DET,AL,WS,2B,5,5,138,11,18,0,2,false,,,
schmibo01,1907,DET,AL,WS,C,3,3,87,20,6,2,0,false,0,8,3
sieveed01,1907,DET,AL,WS,P,1,1,12,0,0,0,0,false,,0,0
brownmo01,1908,CHN,NL,WS,P,2,1,33,0,6,0,1,false,,0,0
chancfr01,1908,CHN,NL,WS,1B,5,5,135,66,0,1,3,false,,,
eversjo01,1908,CHN,NL,WS,2B,5,5,135,5,20,1,1,false,,,
hofmaso01,1908,CHN,NL,WS,CF,5,5,135,10,1,0,1,false,,,
klingjo01,1908,CHN,NL,WS,C,5,5,135,32,6,0,1,false,1,5,2
overaor01,1908,CHN,NL,WS,P,3,2,55,0,2,0,0,false,,2,1
pfiesja01,1908,CHN,NL,WS,P,1,1,24,0,0,0,0,false,,0,0
reulbed01,1908,CHN,NL,WS,P,2,1,23,0,5,0,0,false,,3,1
schulfr01,1908,CHN,NL,WS,RF,5,5,135,3,1,0,0,false,,,
sheckji01,1908,CHN,NL,WS,LF,5,5,135,7,0,0,0,false,,,
steinha01,1908,CHN,NL,WS,3B,5,5,135,4,11,0,0,false,,,
tinkejo01,1908,CHN,NL,WS,SS,5,5,135,8,20,0,2,false,,,
cobbty01,1908,DET,AL,WS,RF,5,5,132,3,0,1,0,false,,,
coughbi01,1908,DET,AL,WS,3B,3,3,81,3,6,1,1,false,,,
crawfsa01,1908,DET,AL,WS,CF,5,5,132,16,0,0,0,false,,,
donovbi01,1908,DET,AL,WS,P,2,2,51,1,2,1,0,false,,3,2
downsre01,1908,DET,AL,WS,2B,2,2,51,2,8,1,1,false,,,
killied01,1908,DET,AL,WS,P,1,1,7,0,1,0,0,false,,1,0
mcintma01,1908,DET,AL,WS,LF,5,5,132,10,0,1,0,false,,,
mullige01,1908,DET,AL,WS,P,1,1,27,0,1,0,0,false,,3,3
olearch01,1908,DET,AL,WS,SS,5,5,132,7,12,1,3,false,,,
rossmcl01,1908,DET,AL,WS,1B,5,5,132,48,5,2,4,false,,,
schaege01,1908,DET,AL,WS,2B,3,3,81,10,8,0,3,false,,,
schaege01,1908,DET,AL,WS,3B,2,2,51,1,3,1,0,false,,,
schmibo01,1908,DET,AL,WS,C,4,4,105,22,7,0,1,false,1,12,5
summeed01,1908,DET,AL,WS,P,2,1,44,0,7,0,0,false,,7,2
thomair01,1908,DET,AL,WS,C,1,1,27,9,2,0,0,false,0,3,3
wintege01,1908,DET,AL,WS,P,1,0,3,0,0,0,0,false,,1,1
bushdo01,1909,DET,AL,WS,SS,7,7,183,9,18,5,3,false,,,
cobbty01,1909,DET,AL,WS,RF,7,7,183,8,0,1,0,false,,,
crawfsa01,1909,DET,AL,WS,1B,1,0,3,0,1,0,0,false,,,
crawfsa01,1909,DET,AL,WS,CF,7,7,180,17,0,2,0,false,,,
delahji01,1909,DET,AL,WS,2B,7,7,183,10,17,2,1,false,,,
