playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
alexape01,1915,PHI,NL,WS,P,2,2,53,2,5,0,0,false,,1,1
bancrda01,1915,PHI,NL,WS,SS,5,5,131,13,10,1,2,false,,,
beckebe01,1915,PHI,NL,WS,LF,1,0,3,0,0,0,0,false,,,
beckebe01,1915,PHI,NL,WS,RF,1,0,3,0,0,0,0,false,,,
burnsed01,1915,PHI,NL,WS,C,5,5,131,28,8,1,2,false,0,1,6
chalmge01,1915,PHI,NL,WS,P,1,1,24,0,4,0,1,false,,0,1
cravaga01,1915,PHI,NL,WS,RF,5,5,128,5,0,0,0,false,,,
luderfr01,1915,PHI,NL,WS,1B,5,5,128,39,4,1,2,false,,,
mayerer01,1915,PHI,NL,WS,P,2,2,34,2,3,0,0,false,,0,4
niehobe01,1915,PHI,NL,WS,2B,5,5,131,10,10,0,0,false,,,
paskedo01,1915,PHI,NL,WS,CF,5,5,131,17,0,0,0,false,,,
rixeyep01,1915,PHI,NL,WS,P,1,0,20,0,1,0,0,false,,0,0
stockmi01,1915,PHI,NL,WS,3B,5,5,131,1,8,0,0,false,,,
whittpo01,1915,PHI,NL,WS,1B,1,0,3,2,0,0,1,false,,,
whittpo01,1915,PHI,NL,WS,LF,5,5,128,12,0,0,0,false,,,
cadyhi01,1916,BOS,AL,WS,C,2,2,53,11,1,0,1,false,1,0,0
carribi02,1916,BOS,AL,WS,C,1,1,27,3,1,0,0,false,0,0,1
fosteru01,1916,BOS,AL,WS,P,1,0,9,1,2,0,0,false,,1,0
gardnla01,1916,BOS,AL,WS,3B,5,5,147,7,19,2,1,false,,,
hoblidi01,1916,BOS,AL,WS,1B,5,5,147,69,4,0,4,false,,,
hoopeha01,1916,BOS,AL,WS,RF,5,5,147,8,2,0,1,false,,,
janvrha01,1916,BOS,AL,WS,2B,5,5,147,8,15,2,4,false,,,
leonadu01,1916,BOS,AL,WS,P,1,1,27,0,1,0,0,false,,0,1
lewisdu01,1916,BOS,AL,WS,LF,5,5,147,9,1,0,0,false,,,
maysca01,1916,BOS,AL,WS,P,2,1,16,0,4,0,0,false,,0,0
ruthba01,1916,BOS,AL,WS,P,1,1,42,2,4,0,0,false,,0,2
scottev01,1916,BOS,AL,WS,SS,5,5,147,9,24,2,3,false,,,
shoreer01,1916,BOS,AL,WS,P,2,2,53,2,7,0,1,false,,0,0
shortch01,1916,BOS,AL,WS,CF,2,2,51,3,0,0,0,false,,,
thomapi01,1916,BOS,AL,WS,C,3,2,67,10,4,0,0,false,0,1,2
walketi01,1916,BOS,AL,WS,CF,3,3,81,4,1,0,0,false,,,
walshji02,1916,BOS,AL,WS,CF,1,0,15,1,0,0,0,false,,,
chenela01,1916,BRO,NL,WS,P,1,0,9,0,0,1,0,false,,1,0
coombja01,1916,BRO,NL,WS,P,1,1,19,0,2,0,0,false,,0,2
cutshge01,1916,BRO,NL,WS,2B,5,5,142,18,12,2,1,false,,,
daubeja01,1916,BRO,NL,WS,1B,4,4,115,41,2,0,1,false,,,
dellwh01,1916,BRO,NL,WS,P,1,0,3,0,0,0,0,false,,0,0
johnsji01,1916,BRO,NL,WS,RF,2,2,67,1,0,1,0,false,,,
