playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
walshed01,1937,BBWAA,201,151,56,false,Player,
hornsro01,1937,BBWAA,201,151,53,false,Player,
chancfr01,1937,BBWAA,201,151,49,false,Player,
eversjo01,1937,BBWAA,201,151,44,false,Player,
bresnro01,1937,BBWAA,201,151,43,false,Player,
brownmo01,1937,BBWAA,201,151,31,false,Player,
maranra01,1937,BBWAA,201,151,25,false,Player,
schalra01,1937,BBWAA,201,151,24,false,Player,
planked01,1937,BBWAA,201,151,23,false,Player,
clarkfr01,1937,BBWAA,201,151,22,false,Player,
klingjo01,1937,BBWAA,201,151,20,false,Player,
chaseha01,1937,BBWAA,201,151,18,false,Player,
bendech01,1937,BBWAA,201,151,17,false,Player,
crigelo01,1937,BBWAA,201,151,16,false,Player,
youngro01,1937,BBWAA,201,151,16,false,Player,
pennohe01,1937,BBWAA,201,151,15,false,Player,
tinkejo01,1937,BBWAA,201,151,15,false,Player,
bakerfr01,1937,BBWAA,201,151,13,false,Player,
marquru01,1937,BBWAA,201,151,13,false,Player,
woodjo02,1937,BBWAA,201,151,13,false,Player,
mcginjo01,1937,BBWAA,201,151,12,false,Player,
jossad01,1937,BBWAA,201,151,11,false,Player,
ruckena01,1937,BBWAA,201,151,11,false,Player,
heilmha01,1937,BBWAA,201,151,10,false,Player,
roushed01,1937,BBWAA,201,151,10,false,Player,
vanceda01,1937,BBWAA,201,151,10,false,Player,
adamsba01,1937,BBWAA,201,151,8,false,Player,
duffyhu01,1937,BBWAA,201,151,7,false,Player,
archeji01,1937,BBWAA,201,151,6,false,Player,
careyma01,1937,BBWAA,201,151,6,false,Player,
donlimi01,1937,BBWAA,201,151,6,false,Player,
hoopeha01,1937,BBWAA,201,151,6,false,Player,
bradlbi01,1937,BBWAA,201,151,5,false,Player,
carribi02,1937,BBWAA,201,151,5,false,Player,
crawfsa01,1937,BBWAA,201,151,5,false,Player,
huggimi01,1937,BBWAA,201,151,5,false,Manager,
mcgrajo01,1937,BBWAA,201,151,5,false,Manager,
robinwi01,1937,BBWAA,201,151,5,false,Manager,
tennefr02,1937,BBWAA,201,151,5,false,Player,
wheatza01,1937,BBWAA,201,151,5,false,Player,
combsea01,1937,BBWAA,201,151,4,false,Player,
griffcl01,1937,BBWAA,201,151,4,false,Pioneer/Executive,
jennihu01,1937,BBWAA,201,151,4,false,Player,
altroni01,1937,BBWAA,201,151,3,false,Player,
bancrda01,1937,BBWAA,201,151,3,false,Player,
burnsge01,1937,BBWAA,201,151,3,false,Player,
donovbi01,1937,BBWAA,201,151,3,false,Player,
faberre01,1937,BBWAA,201,151,3,false,Player,
lewisdu01,1937,BBWAA,201,151,3,false,Player,
nehfar01,1937,BBWAA,201,151,3,false,Player,
peckiro01,1937,BBWAA,201,151,3,false,Player,
bergema01,1937,BBWAA,201,151,2,false,Player,
bodiepi01,1937,BBWAA,201,151,2,false,Player,
coombja01,1937,BBWAA,201,151,2,false,Player,
cravaga01,1937,BBWAA,201,151,2,false,Player,
daubeja01,1937,BBWAA,201,151,2,false,Player,
doylela01,1937,BBWAA,201,151,2,false,Player,
fletcar01,1937,BBWAA,201,151,2,false,Player,
gowdyha01,1937,BBWAA,201,151,2,false,Player,
loberha01,1937,BBWAA,201,151,2,false,Player,
mageesh01,1937,BBWAA,201,151,2,false,Player,
schreos01,1937,BBWAA,201,151,2,false,Player,
scottev01,1937,BBWAA,201,151,2,false,Player,
breitte01,1937,BBWAA,201,151,1,false,Player,
burkeje01,1937,BBWAA,201,151,1,false,Player,
bushdo01,1937,BBWAA,201,151,1,false,Player,
chesbja01,1937,BBWAA,201,151,1,false,Player,
cissebi01,1937,BBWAA,201,151,1,false,Player,
collish01,1937,BBWAA,201,151,1,false,Player,
dooinre01,1937,BBWAA,201,151,1,false,Player,
duganjo01,1937,BBWAA,201,151,1,false,Player,
elberki01,1937,BBWAA,201,151,1,false,Player,
falkecy01,1937,BBWAA,201,151,1,false,Player,
gleaski01,1937,BBWAA,201,151,1,false,Player,
grimebu01,1937,BBWAA,201,151,1,false,Player,
grohhe01,1937,BBWAA,201,151,1,false,Player,
hinchbi01,1937,BBWAA,201,151,1,false,Player,
judgejo01,1937,BBWAA,201,151,1,false,Player,
kerrdi01,1937,BBWAA,201,151,1,false,Player,
leachto01,1937,BBWAA,201,151,1,false,Player,
leevesa01,1937,BBWAA,201,151,1,false,Player,
longhe01,1937,BBWAA,201,151,1,false,Player,
luquedo01,1937,BBWAA,201,151,1,false,Player,
mcinnst01,1937,BBWAA,201,151,1,false,Player,
mcleala01,1937,BBWAA,201,151,1,false,Player,
meusebo01,1937,BBWAA,201,151,1,false,Player,
milleha01,1937,BBWAA,201,151,1,false,Player,
moranpa01,1937,BBWAA,201,151,1,false,Player,
murphda02,1937,BBWAA,201,151,1,false,Player,
murrare01,1937,BBWAA,201,151,1,false,Player,
paskedo01,1937,BBWAA,201,151,1,false,Player,
raymobu01,1937,BBWAA,201,151,1,false,Player,
rixeyep01,1937,BBWAA,201,151,1,false,Player,
rudoldi01,1937,BBWAA,201,151,1,false,Player,
rusieam01,1937,BBWAA,201,151,1,false,Player,
schulfr01,1937,BBWAA,201,151,1,false,Player,
seweljo01,1937,BBWAA,201,151,1,false,Player,
steinha01,1937,BBWAA,201,151,1,false,Player,
streega01,1937,BBWAA,201,151,1,false,Player,
sullibi03,1937,BBWAA,201,151,1,false,Player,
veachbo01,1937,BBWAA,201,151,1,false,Player,
wallabo01,1937,BBWAA,201,151,1,false,Player,
wilsoha01,1937,BBWAA,201,151,1,false,Player,
bulkemo99,1937,Centennial,,,,true,Pioneer/Executive,
johnsba99,1937,Centennial,,,,true,Pioneer/Executive,
mackco01,1937,Centennial,,,,true,Manager,
mcgrajo01,1937,Veterans,,,,true,Manager,
wrighge01,1937,Centennial,,,,true,Pioneer/Executive,
alexape01,1938,BBWAA,262,197,212,true,Player,
sislege01,1938,BBWAA,262,197,179,false,Player,
keelewi01,1938,BBWAA,262,197,177,false,Player,
collied01,1938,BBWAA,262,197,175,false,Player,
wadderu01,1938,BBWAA,262,197,148,false,Player,
chancfr01,1938,BBWAA,262,197,133,false,Player,
delahed01,1938,BBWAA,262,197,132,false,Player,
walshed01,1938,BBWAA,262,197,110,false,Player,
eversjo01,1938,BBWAA,262,197,91,false,Player,
colliji01,1938,BBWAA,262,197,79,false,Player,
maranra01,1938,BBWAA,262,197,73,false,Player,
bresnro01,1938,BBWAA,262,197,67,false,Player,
clarkfr01,1938,BBWAA,262,197,63,false,Player,
brownmo01,1938,BBWAA,262,197,54,false,Player,
huggimi01,1938,BBWAA,262,197,48,false,Manager,
hornsro01,1938,BBWAA,262,197,46,false,Player,
schalra01,1938,BBWAA,262,197,45,false,Player,
youngro01,1938,BBWAA,262,197,40,false,Player,
planked01,1938,BBWAA,262,197,38,false,Player,
pennohe01,1938,BBWAA,262,197,37,false,Player,
mcginjo01,1938,BBWAA,262,197,36,false,Player,
bendech01,1938,BBWAA,262,197,33,false,Player,
bakerfr01,1938,BBWAA,262,197,32,false,Player,
klingjo01,1938,BBWAA,262,197,26,false,Player,
duffyhu01,1938,BBWAA,262,197,24,false,Player,
jennihu01,1938,BBWAA,262,197,23,false,Player,
jossad01,1938,BBWAA,262,197,18,false,Player,
robinwi01,1938,BBWAA,262,197,17,false,Manager,
tinkejo01,1938,BBWAA,262,197,16,false,Player,
heilmha01,1938,BBWAA,262,197,14,false,Player,
ruckena01,1938,BBWAA,262,197,12,false,Player,
adamsba01,1938,BBWAA,262,197,11,false,Player,
crawfsa01,1938,BBWAA,262,197,11,false,Player,
crigelo01,1938,BBWAA,262,197,11,false,Player,
griffcl01,1938,BBWAA,262,197,10,false,Pioneer/Executive,
marquru01,1938,BBWAA,262,197,10,false,Player,
vanceda01,1938,BBWAA,262,197,10,false,Player,
roushed01,1938,BBWAA,262,197,9,false,Player,
gowdyha01,1938,BBWAA,262,197,8,false,Player,
rusieam01,1938,BBWAA,262,197,8,false,Player,
tennefr02,1938,BBWAA,262,197,8,false,Player,
altroni01,1938,BBWAA,262,197,7,false,Player,
archeji01,1938,BBWAA,262,197,7,false,Player,
combsea01,1938,BBWAA,262,197,7,false,Player,
terrybi01,1938,BBWAA,262,197,7,false,Player,
wallabo01,1938,BBWAA,262,197,7,false,Player,
wheatza01,1938,BBWAA,262,197,7,false,Player,
careyma01,1938,BBWAA,262,197,6,false,Player,
woodjo02,1938,BBWAA,262,197,6,false,Player,
donlimi01,1938,BBWAA,262,197,5,false,Player,
lewisdu01,1938,BBWAA,262,197,5,false,Player,
nehfar01,1938,BBWAA,262,197,5,false,Player,
carribi02,1938,BBWAA,262,197,4,false,Player,
dinnebi01,1938,BBWAA,262,197,4,false,Player,
doylela01,1938,BBWAA,262,197,4,false,Player,
hoopeha01,1938,BBWAA,262,197,4,false,Player,
mcinnst01,1938,BBWAA,262,197,4,false,Player,
barryja01,1938,BBWAA,262,197,3,false,Player,
burnsge01,1938,BBWAA,262,197,3,false,Player,
fletcar01,1938,BBWAA,262,197,3,false,Player,
grohhe01,1938,BBWAA,262,197,3,false,Player,
kerrdi01,1938,BBWAA,262,197,3,false,Player,
nichoki01,1938,BBWAA,262,197,3,false,Player,
traynpi01,1938,BBWAA,262,197,3,false,Player,
bancrda01,1938,BBWAA,262,197,2,false,Player,
bradlbi01,1938,BBWAA,262,197,2,false,Player,
burkeje01,1938,BBWAA,262,197,2,false,Player,
chesbja01,1938,BBWAA,262,197,2,false,Player,
coombja01,1938,BBWAA,262,197,2,false,Player,
cravaga01,1938,BBWAA,262,197,2,false,Player,
elberki01,1938,BBWAA,262,197,2,false,Player,
fosteed02,1938,BBWAA,262,197,2,false,Player,
judgejo01,1938,BBWAA,262,197,2,false,Player,
mageesh01,1938,BBWAA,262,197,2,false,Player,
peckiro01,1938,BBWAA,262,197,2,false,Player,
rixeyep01,1938,BBWAA,262,197,2,false,Player,
schreos01,1938,BBWAA,262,197,2,false,Player,
scottev01,1938,BBWAA,262,197,2,false,Player,
stengca01,1938,BBWAA,262,197,2,false,Manager,
beaumgi01,1938,BBWAA,262,197,1,false,Player,
bergema01,1938,BBWAA,262,197,1,false,Player,
chapmra01,1938,BBWAA,262,197,1,false,Player,
coaklan01,1938,BBWAA,262,197,1,false,Player,
coopewi01,1938,BBWAA,262,197,1,false,Player,
covelst01,1938,BBWAA,262,197,1,false,Player,
cranddo01,1938,BBWAA,262,197,1,false,Player,
cruiswa01,1938,BBWAA,262,197,1,false,Player,
dahlebi01,1938,BBWAA,262,197,1,false,Player,
daubeja01,1938,BBWAA,262,197,1,false,Player,
donovbi01,1938,BBWAA,262,197,1,false,Player,
dooinre01,1938,BBWAA,262,197,1,false,Player,
duganjo01,1938,BBWAA,262,197,1,false,Player,
ehmkeho01,1938,BBWAA,262,197,1,false,Player,
faberre01,1938,BBWAA,262,197,1,false,Player,
flickel01,1938,BBWAA,262,197,1,false,Player,
gleaski01,1938,BBWAA,262,197,1,false,Player,
